timestamp,Date,load,Year,Month,Hour
2020-01-06 19:00:00,2020-01-06,18196.0,2020,1,20.0
2020-01-06 20:00:00,2020-01-06,17817.0,2020,1,21.0
2020-01-06 21:00:00,2020-01-06,17122.0,2020,1,22.0
2020-01-06 22:00:00,2020-01-06,16078.0,2020,1,23.0
2020-01-06 23:00:00,2020-01-06,14881.0,2020,1,24.0
2020-01-07 00:00:00,2020-01-07,14347.0,2020,1,1.0
2020-01-07 01:00:00,2020-01-07,14010.0,2020,1,2.0
2020-01-07 02:00:00,2020-01-07,13781.0,2020,1,3.0
2020-01-07 03:00:00,2020-01-07,13867.0,2020,1,4.0
2020-01-07 04:00:00,2020-01-07,14074.0,2020,1,5.0
2020-01-07 05:00:00,2020-01-07,14606.0,2020,1,6.0
2020-01-07 06:00:00,2020-01-07,15931.0,2020,1,7.0
2020-01-07 07:00:00,2020-01-07,17335.0,2020,1,8.0
2020-01-07 08:00:00,2020-01-07,17547.0,2020,1,9.0
2020-01-07 09:00:00,2020-01-07,17363.0,2020,1,10.0
2020-01-07 10:00:00,2020-01-07,17155.0,2020,1,11.0
2020-01-07 11:00:00,2020-01-07,16869.0,2020,1,12.0
2020-01-07 12:00:00,2020-01-07,16508.0,2020,1,13.0
2020-01-07 13:00:00,2020-01-07,16333.0,2020,1,14.0
2020-01-07 14:00:00,2020-01-07,16439.0,2020,1,15.0
2020-01-07 15:00:00,2020-01-07,16715.0,2020,1,16.0
2020-01-07 16:00:00,2020-01-07,17399.0,2020,1,17.0
2020-01-07 17:00:00,2020-01-07,18266.0,2020,1,18.0
2020-01-07 18:00:00,2020-01-07,18118.0,2020,1,19.0
2020-01-07 19:00:00,2020-01-07,18010.0,2020,1,20.0
2020-01-07 20:00:00,2020-01-07,17686.0,2020,1,21.0
2020-01-07 21:00:00,2020-01-07,16970.0,2020,1,22.0
2020-01-07 22:00:00,2020-01-07,16024.0,2020,1,23.0
2020-01-07 23:00:00,2020-01-07,14916.0,2020,1,24.0
2020-01-08 00:00:00,2020-01-08,14222.0,2020,1,1.0
2020-01-08 01:00:00,2020-01-08,13877.0,2020,1,2.0
2020-01-08 02:00:00,2020-01-08,13682.0,2020,1,3.0
2020-01-08 03:00:00,2020-01-08,13733.0,2020,1,4.0
2020-01-08 04:00:00,2020-01-08,13914.0,2020,1,5.0
2020-01-08 05:00:00,2020-01-08,14500.0,2020,1,6.0
2020-01-08 06:00:00,2020-01-08,15743.0,2020,1,7.0
2020-01-08 07:00:00,2020-01-08,17297.0,2020,1,8.0
2020-01-08 08:00:00,2020-01-08,17549.0,2020,1,9.0
2020-01-08 09:00:00,2020-01-08,17465.0,2020,1,10.0
2020-01-08 10:00:00,2020-01-08,17360.0,2020,1,11.0
2020-01-08 11:00:00,2020-01-08,17291.0,2020,1,12.0
2020-01-08 12:00:00,2020-01-08,17134.0,2020,1,13.0
2020-01-08 13:00:00,2020-01-08,17035.0,2020,1,14.0
2020-01-08 14:00:00,2020-01-08,17162.0,2020,1,15.0
2020-01-08 15:00:00,2020-01-08,17606.0,2020,1,16.0
2020-01-08 16:00:00,2020-01-08,18465.0,2020,1,17.0
2020-01-08 17:00:00,2020-01-08,19597.0,2020,1,18.0
2020-01-08 18:00:00,2020-01-08,19786.0,2020,1,19.0
2020-01-08 19:00:00,2020-01-08,19688.0,2020,1,20.0
2020-01-08 20:00:00,2020-01-08,19503.0,2020,1,21.0
2020-01-08 21:00:00,2020-01-08,18598.0,2020,1,22.0
2020-01-08 22:00:00,2020-01-08,17607.0,2020,1,23.0
2020-01-08 23:00:00,2020-01-08,16503.0,2020,1,24.0
2020-01-09 00:00:00,2020-01-09,15786.0,2020,1,1.0
2020-01-09 01:00:00,2020-01-09,15456.0,2020,1,2.0
2020-01-09 02:00:00,2020-01-09,15165.0,2020,1,3.0
2020-01-09 03:00:00,2020-01-09,15115.0,2020,1,4.0
2020-01-09 04:00:00,2020-01-09,15348.0,2020,1,5.0
2020-01-09 05:00:00,2020-01-09,15751.0,2020,1,6.0
2020-01-09 06:00:00,2020-01-09,16969.0,2020,1,7.0
2020-01-09 07:00:00,2020-01-09,18288.0,2020,1,8.0
2020-01-09 08:00:00,2020-01-09,18448.0,2020,1,9.0
2020-01-09 09:00:00,2020-01-09,17980.0,2020,1,10.0
2020-01-09 10:00:00,2020-01-09,17776.0,2020,1,11.0
2020-01-09 11:00:00,2020-01-09,17618.0,2020,1,12.0
2020-01-09 12:00:00,2020-01-09,17638.0,2020,1,13.0
2020-01-09 13:00:00,2020-01-09,17858.0,2020,1,14.0
2020-01-09 14:00:00,2020-01-09,17896.0,2020,1,15.0
2020-01-09 15:00:00,2020-01-09,18289.0,2020,1,16.0
2020-01-09 16:00:00,2020-01-09,18887.0,2020,1,17.0
2020-01-09 17:00:00,2020-01-09,19758.0,2020,1,18.0
2020-01-09 18:00:00,2020-01-09,19587.0,2020,1,19.0
2020-01-09 19:00:00,2020-01-09,19294.0,2020,1,20.0
2020-01-09 20:00:00,2020-01-09,18842.0,2020,1,21.0
2020-01-09 21:00:00,2020-01-09,17985.0,2020,1,22.0
2020-01-09 22:00:00,2020-01-09,16785.0,2020,1,23.0
2020-01-09 23:00:00,2020-01-09,15603.0,2020,1,24.0
2020-01-10 00:00:00,2020-01-10,14871.0,2020,1,1.0
2020-01-10 01:00:00,2020-01-10,14289.0,2020,1,2.0
2020-01-10 02:00:00,2020-01-10,13879.0,2020,1,3.0
2020-01-10 03:00:00,2020-01-10,13714.0,2020,1,4.0
2020-01-10 04:00:00,2020-01-10,13789.0,2020,1,5.0
2020-01-10 05:00:00,2020-01-10,14350.0,2020,1,6.0
2020-01-10 06:00:00,2020-01-10,15546.0,2020,1,7.0
2020-01-10 07:00:00,2020-01-10,16947.0,2020,1,8.0
2020-01-10 08:00:00,2020-01-10,17492.0,2020,1,9.0
2020-01-10 09:00:00,2020-01-10,17355.0,2020,1,10.0
2020-01-10 10:00:00,2020-01-10,17425.0,2020,1,11.0
2020-01-10 11:00:00,2020-01-10,17529.0,2020,1,12.0
2020-01-10 12:00:00,2020-01-10,17451.0,2020,1,13.0
2020-01-10 13:00:00,2020-01-10,17486.0,2020,1,14.0
2020-01-10 14:00:00,2020-01-10,17396.0,2020,1,15.0
2020-01-10 15:00:00,2020-01-10,17520.0,2020,1,16.0
2020-01-10 16:00:00,2020-01-10,17951.0,2020,1,17.0
2020-01-10 17:00:00,2020-01-10,18297.0,2020,1,18.0
2020-01-10 18:00:00,2020-01-10,17691.0,2020,1,19.0
2020-01-10 19:00:00,2020-01-10,17317.0,2020,1,20.0
2020-01-10 20:00:00,2020-01-10,16996.0,2020,1,21.0
2020-01-10 21:00:00,2020-01-10,16443.0,2020,1,22.0
2020-01-10 22:00:00,2020-01-10,15623.0,2020,1,23.0
2020-01-10 23:00:00,2020-01-10,14421.0,2020,1,24.0
2020-01-11 00:00:00,2020-01-11,13665.0,2020,1,1.0
2020-01-11 01:00:00,2020-01-11,13151.0,2020,1,2.0
2020-01-11 02:00:00,2020-01-11,12932.0,2020,1,3.0
2020-01-11 03:00:00,2020-01-11,12680.0,2020,1,4.0
2020-01-11 04:00:00,2020-01-11,12642.0,2020,1,5.0
2020-01-11 05:00:00,2020-01-11,12836.0,2020,1,6.0
2020-01-11 06:00:00,2020-01-11,13526.0,2020,1,7.0
2020-01-11 07:00:00,2020-01-11,14171.0,2020,1,8.0
2020-01-11 08:00:00,2020-01-11,14770.0,2020,1,9.0
2020-01-11 09:00:00,2020-01-11,15641.0,2020,1,10.0
2020-01-11 10:00:00,2020-01-11,16397.0,2020,1,11.0
